oid	kind	category	name	args	return	comment	file
58314	f	items_purge	get_items_to_remove	items_to_remove text[]	text[]		functions/items_purge/get_items_to_remove__1args.sql
58315	f	landclaim	get_landclaim_segments	in_totem_id bigint	TABLE(grid_location_x bigint, grid_location_y bigint)		functions/landclaim/get_landclaim_segments__1args.sql
58316	f	lookup	get_learned_building_sets	in_account_id bigint	SETOF text		functions/lookup/get_learned_building_sets__1args.sql
58317	f	lookup	get_learned_new_buildable_pieces	in_account_id bigint	SETOF text		functions/lookup/get_learned_new_buildable_pieces__1args.sql
58318	f	lookup	get_login_journey_nodes	in_account_id bigint	dune.journeynodeinfo[]		functions/lookup/get_login_journey_nodes__1args.sql
58319	f	lookup	get_login_journey_nodes_cooldown	in_account_id bigint	dune.journeynodecooldowninfo[]		functions/lookup/get_login_journey_nodes_cooldown__1args.sql
58320	f	journey_progression	get_mnemonic_recall_lessons	in_account_id bigint	TABLE(id bigint, lesson_id text, lession_state bigint, lesson_progress integer, is_new boolean)		functions/journey_progression/get_mnemonic_recall_lessons__1args.sql
58321	f	lookup	get_online_player_controller_ids	in_map text	SETOF bigint		functions/lookup/get_online_player_controller_ids__1args.sql
58322	f	lookup	get_online_player_controller_ids_on_farm		SETOF bigint		functions/lookup/get_online_player_controller_ids_on_farm__0args.sql
58323	f	partition	get_partition_presets		SETOF text	Adds a partition only if its unique. Not using constraints, as this is only a helper function.	functions/partition/get_partition_presets__0args.sql
58324	f	partition	get_partitions	in_map text	SETOF bigint		functions/partition/get_partitions__1args.sql
58325	f	party	get_party_members	in_party_id bigint	TABLE(player_id bigint, fls_id text, party_id bigint)		functions/party/get_party_members__1args.sql
58326	f	permission	get_permission_actors_for_server	in_server_info dune.serverinfo	SETOF dune.actorpermissioncombineddata		functions/permission/get_permission_actors_for_server__1args.sql
58327	f	permission	get_permission_for_actor	in_actor_id bigint	dune.actorpermissioncombineddata		functions/permission/get_permission_for_actor__1args.sql
58328	f	permission	get_permission_for_actors	in_actor_id bigint[]	SETOF dune.actorpermissioncombineddata		functions/permission/get_permission_for_actors__1args.sql
58329	f	permission	get_permission_for_player_actors	in_player_id bigint, in_min_rank smallint	SETOF dune.actorpermissioncombineddata		functions/permission/get_permission_for_player_actors__2args.sql
58330	f	building_blueprint	get_placeable_id	in_actor_id bigint, in_class text, in_building_type text	dune.placeablegetidcomposite		functions/building_blueprint/get_placeable_id__3args.sql
58331	f	lookup	get_player_access_codes	in_account_id bigint	TABLE(access_code integer, access_code_type integer)		functions/lookup/get_player_access_codes__1args.sql
58332	f	faction	get_player_current_faction_reputation	in_actor_id bigint, OUT out_faction_id smallint, OUT out_reputation_amount integer	record		functions/faction/get_player_current_faction_reputation__3args.sql
58333	f	faction	get_player_faction	in_player_id bigint, in_neutral_faction_id smallint	smallint		functions/faction/get_player_faction__2args.sql
58334	f	faction	get_player_faction_name	in_actor_id bigint, OUT player_faction_name text, OUT utc_time_faction_change timestamp without time zone	record		functions/faction/get_player_faction_name__3args.sql
58335	f	lookup	get_player_guild_invites	in_player_id bigint	TABLE(invite_id bigint, guild_id bigint, guild_name text, guild_description text, sender_player_id bigint, invite_sent_timespan bigint, character_name text, sender_character_name text)		functions/lookup/get_player_guild_invites__1args.sql
58336	f	lookup	get_player_ids_online_state	in_player_ids bigint[]	SETOF dune.playeronlinestateentry		functions/lookup/get_player_ids_online_state__1args.sql
58337	f	lookup	get_player_infos_for_actor_ids	in_actor_ids bigint[]	TABLE(player_id bigint, character_name text, fls_id text, funcom_id text, platform_id text, platform_name text)		functions/lookup/get_player_infos_for_actor_ids__1args.sql
58338	f	lookup	get_player_infos_for_character_names	in_character_names text[]	TABLE(player_id bigint, character_name text, fls_id text, funcom_id text, platform_id text, platform_name text)		functions/lookup/get_player_infos_for_character_names__1args.sql
58339	f	lookup	get_player_infos_for_fls_ids	in_fls_ids text[]	TABLE(player_id bigint, character_name text, fls_id text, funcom_id text, platform_id text, platform_name text)		functions/lookup/get_player_infos_for_fls_ids__1args.sql
58340	f	lookup	get_player_infos_for_funcom_ids	in_funcom_ids text[]	TABLE(player_id bigint, character_name text, fls_id text, funcom_id text, platform_id text, platform_name text)		functions/lookup/get_player_infos_for_funcom_ids__1args.sql
